link,region,location,street_address,num_of_rooms,size,fee,price
https://www.hemnet.se/bostad/lagenhet-2rum-falhagen-uppsala-kommun-norrtaljegatan-34-18754897,Fålhagen,Fålhagen,Norrtäljegatan34,2,53.0,3640,2095000
https://www.hemnet.se/bostad/lagenhet-2rum-kapellgardet-uppsala-kommun-orgelgatan-9-18850435,Kapellgärdet,Kapellgärdet,Orgelgatan9,2,52.0,2382,2395000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-kommun-granby-bilgata-28-17609385,Uppsala,Uppsala,GränbyBilgata28,3,55.0,4150,2395000
https://www.hemnet.se/bostad/lagenhet-1rum-uppsala-kommun-granby-bilgata-28-17609280,Uppsala,Uppsala,GränbyBilgata28,1,35.0,3200,1795000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-granby-bilgata-28-17609387,Uppsala,Uppsala,GränbyBilgata28,2,44.0,3650,2050000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-granby-bilgata-28-17609318,Uppsala,Uppsala,GränbyBilgata28,2,48.0,3850,1995000
https://www.hemnet.se/bostad/lagenhet-1rum-uppsala-kommun-granby-bilgata-28-17609279,Uppsala,Uppsala,GränbyBilgata28,1,31.0,3000,1395000
"https://www.hemnet.se/bostad/lagenhet-3,5rum-kungsangen-uppsala-kommun-sagargatan-11b-18848775",Kungsängen,Kungsängen,Sågargatan11B,3.5,85.0,3312,3895000
https://www.hemnet.se/bostad/lagenhet-1rum-fjardingen-uppsala-kommun-slottsgrand-2e-18848278,Fjärdingen,Fjärdingen,Slottsgränd2E,1,31.6,2382,2275000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-kommun-kantorsgatan-5-18298876,Uppsala,Uppsala,Kantorsgatan5,3,73.0,4479,2750000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-kommun-kantorsgatan-3b-18112735,Uppsala,Uppsala,Kantorsgatan3B,3,64.0,4030,2350000
https://www.hemnet.se/bostad/lagenhet-1rum-uppsala-kommun-kantorsgatan-5-18298615,Uppsala,Uppsala,Kantorsgatan5,1,35.0,2580,1725000
https://www.hemnet.se/bostad/lagenhet-1rum-kapellgardet-uppsala-kommun-kantorsgatan-9-18847495,Kapellgärdet,Kapellgärdet,Kantorsgatan9,1,33.0,2381,1595000
https://www.hemnet.se/bostad/lagenhet-2rum-arsta-uppsala-kommun-kummingatan-20b-18845175,Årsta,Årsta,Kummingatan20B,2,62.1,3556,1695000
https://www.hemnet.se/bostad/lagenhet-4rum-rosendal-uppsala-kommun-lydia-wahlstroms-gata-18089395,Rosendal,Rosendal,LydiaWahlströmsGata,4,93.0,5225,4198000
https://www.hemnet.se/bostad/lagenhet-3rum-ulleraker-uppsala-kommun-gustaf-kjellbergs-vag-3c-18846355,Ulleråker,Ulleråker,GustafKjellbergsväg3C,3,80.0,4903,2695000
https://www.hemnet.se/bostad/lagenhet-2rum-luthagen-uppsala-kommun-gimogatan-5b-18845796,Luthagen,Luthagen,Gimogatan5B,2,44.5,2717,1895000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-torgny-segerstedts-alle-4-18322715,Uppsala,Uppsala,TorgnySegerstedtsAllé4,2,48.0,2515,2375000
https://www.hemnet.se/bostad/lagenhet-1rum-fullero-hage-uppsala-kommun-meteorvagen-28-18844936,Fullerö Hage,FulleröHage,Meteorvägen28,1,35.0,2144,1395000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-kantorsgatan-5-18298636,Uppsala,Uppsala,Kantorsgatan5,2,56.0,3630,2095000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-kantorsgatan-3b-18298575,Uppsala,Uppsala,Kantorsgatan3B,2,42.0,2930,1995000
https://www.hemnet.se/bostad/lagenhet-1rum-norra-rosendal-uppsala-kommun-dekangatan-10-2-1301-18370600,Norra Rosendal,NorraRosendal,Dekangatan10(2,1,29.0,1700,1555000
https://www.hemnet.se/bostad/lagenhet-2rum-kungsangen-industristaden-uppsala-kommun-ostra-agatan-105-18568479,Kungsängen - Industristaden,Kungsängen,ÖstraÅgatan105,2,61.5,2949,3695000
https://www.hemnet.se/bostad/lagenhet-2rum-svartbacken-uppsala-kommun-svartbacksgatan-87b-18520959,Svartbäcken,Svartbäcken,Svartbäcksgatan87B,2,47.0,3005,1995000
https://www.hemnet.se/bostad/lagenhet-1rum-falhagen-uppsala-kommun-hjalmar-brantingsgatan-31-18839436,Fålhagen,Fålhagen,HjalmarBrantingsgatan31,1,33.5,1792,1950000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-uppsala-kommun-verkmastargatan-1c-18835536,Uppsala,Uppsala,Verkmästargatan1C,2,61.0,3402,1750000
https://www.hemnet.se/bostad/lagenhet-2rum-norby-uppsala-kommun-eksoppsvagen-43-18837135,NORBY,NORBY,Eksoppsvägen43,2,67.0,4646,1785000
https://www.hemnet.se/bostad/lagenhet-1rum-rosendal-uppsala-kommun-rosendalsvagen-12-18835736,Rosendal,Rosendal,Rosendalsvägen12,1,27.0,1321,1795000
https://www.hemnet.se/bostad/lagenhet-4rum-gunsta-uppsala-kommun-hjulaxelvagen-184-lgh-1101-18834816,Gunsta,Gunsta,Hjulaxelvägen184lgh1101,4,85.0,4600,2495000
https://www.hemnet.se/bostad/lagenhet-1rum-salabacke-uppsala-kommun-grona-gatan-27a-18833675,SALABACKE,SALABACKE,Grönagatan27A,1,40.5,2435,1595000
https://www.hemnet.se/bostad/lagenhet-5rum-fullero-hage-uppsala-kommun-snomolnsvagen-18684656,Fullerö Hage,FulleröHage,Snömolnsvägen,5,113.0,4396,3795000
https://www.hemnet.se/bostad/lagenhet-3rum-rosendal-uppsala-kommun-lydia-wahlstroms-gata-18451163,Rosendal,Rosendal,LydiaWahlströmsGata,3,86.0,4950,3798000
https://www.hemnet.se/bostad/lagenhet-1rum-rackarberget-uppsala-kommun-s-t-johannesgatan-36a-18830596,Rackarberget,Rackarberget,S:tJohannesgatan36A,1,33.0,2430,1595000
https://www.hemnet.se/bostad/lagenhet-1rum-salabacke-uppsala-kommun-murargatan-30a-18574446,Salabacke,Salabacke,Murargatan30A,1,40.0,2046,1195000
https://www.hemnet.se/bostad/lagenhet-2rum-salabacke-uppsala-kommun-johannesbacksgatan-43-18791955,Salabacke,Salabacke,Johannesbäcksgatan43,2,44.0,2750,1850000
https://www.hemnet.se/bostad/lagenhet-2rum-nyby-uppsala-kommun-viktor-rydbergsgatan-9-18830916,Nyby,Nyby,ViktorRydbergsgatan9,2,61.0,3837,1750000
https://www.hemnet.se/bostad/lagenhet-1rum-kabo-uppsala-kommun-dag-hammarskjolds-vag-15-b-18830717,Kåbo,Kåbo,DagHammarskjöldsVäg15B,1,27.0,2315,1495000
https://www.hemnet.se/bostad/lagenhet-2rum-sala-backe-uppsala-kommun-johannesbacksgatan-43-18830517,Sala backe,Salabacke,Johannesbäcksgatan43,2,37.0,2400,1750000
https://www.hemnet.se/bostad/lagenhet-4rum-vadergatorna-uppsala-kommun-molngatan-15-18831156,Vädergatorna,Vädergatorna,Molngatan15,4,87.5,4550,2295000
https://www.hemnet.se/bostad/lagenhet-3rum-luthagen-uppsala-kommun-borjegatan-56a-18830015,Luthagen,Luthagen,Börjegatan56A,3,76.0,3892,2695000
https://www.hemnet.se/bostad/lagenhet-3rum-svartbacken-uppsala-kommun-egilsgatan-17b-med-uthyrningsdel-18829578,Svartbäcken,Svartbäcken,Egilsgatan17B,3,59.0,3653,2495000
https://www.hemnet.se/bostad/lagenhet-1rum-hoganas-uppsala-kommun-salagatan-15b-18829596,Höganäs,Höganäs,Salagatan15B,1,36.0,2724,1895000
https://www.hemnet.se/bostad/lagenhet-2rum-gottsunda-uppsala-kommun-vackra-birgers-vag-23-18830315,Gottsunda,Gottsunda,VackraBirgersVäg23,2,66.0,3925,1495000
https://www.hemnet.se/bostad/lagenhet-2rum-arsta-uppsala-kommun-fyrislundsgatan-46-18829898,Årsta,Årsta,Fyrislundsgatan46,2,62.3,2149,1850000
https://www.hemnet.se/bostad/lagenhet-3rum-luthagen-uppsala-kommun-luthagsesplanaden-8a-18830159,Luthagen,Luthagen,Luthagsesplanaden8A,3,68.0,3842,2595000
https://www.hemnet.se/bostad/lagenhet-1rum-framre-luthagen-uppsala-kommun-gotgatan-10a-18802455,Främre Luthagen,FrämreLuthagen,Götgatan10A,1,28.4,1409,1895000
https://www.hemnet.se/bostad/lagenhet-4rum-salabacke-uppsala-kommun-kallparksgatan-14-18829815,Salabacke,Salabacke,Källparksgatan14,4,93.0,4119,2595000
https://www.hemnet.se/bostad/lagenhet-5rum-luthagen-uppsala-kommun-palgatan-16-18829203,Luthagen,Luthagen,Pålgatan16,5,110.0,5626,4295000
https://www.hemnet.se/bostad/lagenhet-4rum-luthagen-uppsala-kommun-plattgatan-2-18828996,Luthagen,Luthagen,Plattgatan2,4,98.0,5111,3690000
https://www.hemnet.se/bostad/lagenhet-3rum-bellman-uppsala-kommun-bellmansgatan-162-18827996,Bellman,Bellman,Bellmansgatan162,3,81.5,4132,1995000
https://www.hemnet.se/bostad/lagenhet-1rum-ultuna-uppsala-kommun-gote-turessons-vag-5a-18821997,Ultuna,Ultuna,GöteTuressonsväg5A,1,30.0,2398,1450000
https://www.hemnet.se/bostad/lagenhet-5rum-bellman-uppsala-kommun-bellmansgatan-22-18821995,Bellman,Bellman,Bellmansgatan22,5,136.0,7890,3695000
https://www.hemnet.se/bostad/lagenhet-1rum-rosendal-uppsala-kommun-torgny-segerstedts-alle-4-18773035,Rosendal,Rosendal,TorgnySegerstedtsallé4,1,31.0,1590,1550000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-uppsala-kommun-norrlandsgatan-36b-18826135,Uppsala,Uppsala,Norrlandsgatan36B,3,80.0,3968,3395000
https://www.hemnet.se/bostad/lagenhet-2rum-ulleraker-uppsala-kommun-ullerakersvagen-70-18827196,Ulleråker,Ulleråker,Ulleråkersvägen70,2,67.0,4334,2095000
https://www.hemnet.se/bostad/lagenhet-2rum-hoganas-uppsala-kommun-s-t-olofsgatan-66b-18829135,Höganäs,Höganäs,S:tOlofsgatan66B,2,56.5,2661,2295000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-uppsala-kommun-torgny-segerstedts-alle-85-18829160,Uppsala,Uppsala,TorgnySegerstedtsallé85,2,33.0,1705,1795000
https://www.hemnet.se/bostad/lagenhet-2rum-falhagen-uppsala-kommun-hjalmar-brantingsgatan-12b-18828862,Fålhagen,Fålhagen,HjalmarBrantingsgatan12B,2,56.0,3005,2250000
https://www.hemnet.se/bostad/lagenhet-1rum-arsta-uppsala-kommun-fyrislundsgatan-38-18829265,Årsta,Årsta,Fyrislundsgatan38,1,24.2,1058,1295000
https://www.hemnet.se/bostad/lagenhet-3rum-salabacke-uppsala-kommun-arstagatan-18d-18829462,Salabacke,Salabacke,Årstagatan18D,3,73.5,4095,2090000
https://www.hemnet.se/bostad/lagenhet-3rum-centrum-uppsala-kommun-eddagatan-12a-18827515,Centrum,Centrum,Eddagatan12A,3,83.0,4250,4290000
https://www.hemnet.se/bostad/lagenhet-1rum-norra-rosendal-uppsala-kommun-dekangatan-10-2-1208-18269217,Norra Rosendal,NorraRosendal,Dekangatan10(2,1,29.0,1700,1525000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-uppsala-kommun-sagargatan-8b-18823036,Uppsala,Uppsala,Sågargatan8B,3,76.0,3087,3350000
https://www.hemnet.se/bostad/lagenhet-2rum-arsta-uppsala-kommun-grasloksgatan-34-17139200,Årsta,Årsta,Gräslöksgatan34,2,63.0,3775,1795000
https://www.hemnet.se/bostad/lagenhet-1rum-rosendal-uppsala-kommun-vardsatravagen-3f-18822036,Rosendal,Rosendal,Vårdsätravägen3F,1,35.0,2039,1750000
https://www.hemnet.se/bostad/lagenhet-2rum-sunnersta-uppsala-kommun-dag-hammarskjolds-vag-246b-18821120,Sunnersta,Sunnersta,DagHammarskjöldsVäg246B,2,66.8,4743,1495000
"https://www.hemnet.se/bostad/lagenhet-1,5rum-centrum-uppsala-kommun-kungsgatan-63a-18816277",Centrum,Centrum,Kungsgatan63A,1.5,34.0,2345,1995000
https://www.hemnet.se/bostad/lagenhet-2rum-kvarngardet-uppsala-kommun-rabyvagen-38-18816837,Kvarngärdet,Kvarngärdet,Råbyvägen38,2,41.5,2934,1695000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-uppsala-kommun-kungsangsesplanaden-12b-18818455,Uppsala,Uppsala,Kungsängsesplanaden12B,3,69.0,3958,3195000
https://www.hemnet.se/bostad/lagenhet-2rum-falhagen-uppsala-kommun-falhagsleden-6b-18815275,Fålhagen,Fålhagen,Fålhagsleden6B,2,52.5,2620,2295000
https://www.hemnet.se/bostad/lagenhet-2rum-nyby-uppsala-kommun-hurtigs-gata-31-18819117,Nyby,Nyby,Hurtigsgata31,2,63.0,3651,1995000
https://www.hemnet.se/bostad/lagenhet-3rum-kapellgardet-uppsala-kommun-kapellgatan-3-18821341,Kapellgärdet,Kapellgärdet,Kapellgatan3,3,78.5,4514,2850000
https://www.hemnet.se/bostad/lagenhet-1rum-falhagen-uppsala-kommun-s-t-goransgatan-31c-18818875,Fålhagen,Fålhagen,S:tGöransgatan31C,1,39.0,2340,1795000
https://www.hemnet.se/bostad/lagenhet-2rum-gunsta-uppsala-kommun-hjulaxelvagen-136-18819296,Gunsta,Gunsta,Hjulaxelvägen136,2,55.0,2903,1795000
https://www.hemnet.se/bostad/lagenhet-1rum-rosendal-uppsala-kommun-rosendalsvagen-12c-18818198,Rosendal,Rosendal,Rosendalsvägen12c,1,32.0,1566,1895000
"https://www.hemnet.se/bostad/lagenhet-1,5rum-arsta-uppsala-kommun-grasloksgatan-6-18816897",Årsta,Årsta,Gräslöksgatan6,1.5,43.0,2638,1595000
"https://www.hemnet.se/bostad/lagenhet-1,5rum-framre-luthagen-uppsala-kommun-gluntens-grand-4b-18816955",Främre Luthagen,FrämreLuthagen,GluntensGränd4B,1.5,34.0,1827,2095000
https://www.hemnet.se/bostad/lagenhet-1rum-falhagen-uppsala-kommun-botvidsgatan-16-b-18816381,Fålhagen,Fålhagen,Botvidsgatan16B,1,18.0,1121,1295000
"https://www.hemnet.se/bostad/lagenhet-3,5rum-stenhagen-uppsala-kommun-stenhagsvagen-162-18816718",Stenhagen,Stenhagen,Stenhagsvägen162,3.5,79.0,5490,1695000
https://www.hemnet.se/bostad/lagenhet-2rum-granby-uppsala-kommun-rabyvagen-57f-18807756,Gränby,Gränby,Råbyvägen57F,2,45.0,2712,1795000
https://www.hemnet.se/bostad/lagenhet-2rum-stenhagen-uppsala-kommun-herrhagsvagen-195-18814555,STENHAGEN,STENHAGEN,Herrhagsvägen195,2,55.0,3160,1750000
https://www.hemnet.se/bostad/lagenhet-2rum-falhagen-hoganas-uppsala-kommun-kvarntorget-7-18790657,Fålhagen - Höganäs,Fålhagen,Kvarntorget7,2,56.0,2453,1995000
"https://www.hemnet.se/bostad/lagenhet-2,5rum-luthagen-uppsala-kommun-luthagsesplanaden-26c-18810815",LUTHAGEN,LUTHAGEN,Luthagsesplanaden26C,2.5,70.0,3847,3200000
https://www.hemnet.se/bostad/lagenhet-3rum-luthagen-stabby-uppsala-kommun-plattgatan-6-18813899,Luthagen/Stabby,Luthagen,Plattgatan6,3,81.0,4406,2950000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-kommun-sockergatan-4-18433598,Uppsala,Uppsala,Sockergatan4,3,65.0,3950,3295000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-heidenstamsgatan-51-18811735,Uppsala,Uppsala,Heidenstamsgatan51,2,65.5,3707,1695000
https://www.hemnet.se/bostad/lagenhet-3rum-rosendal-uppsala-kommun-lydia-wahlstroms-gata-18409710,Rosendal,Rosendal,LydiaWahlströmsGata,3,55.0,3601,2698000
https://www.hemnet.se/bostad/lagenhet-2rum-granby-uppsala-kommun-granby-bilgata-18-18797315,GRÄNBY,GRÄNBY,Gränbybilgata18,2,59.5,3840,1825000
https://www.hemnet.se/bostad/lagenhet-3rum-granby-backe-uppsala-kommun-regngatan-10-18805196,Gränby Backe,GränbyBacke,Regngatan10,3,89.8,4275,2150000
https://www.hemnet.se/bostad/lagenhet-1rum-hoganas-uppsala-kommun-storgatan-6-16956396,HÖGANÄS,HÖGANÄS,Storgatan6,1,28.5,1726,1695000
https://www.hemnet.se/bostad/lagenhet-4rum-kungsangen-uppsala-kommun-skyttelgatan-7-18806915,KUNGSÄNGEN,KUNGSÄNGEN,Skyttelgatan7,4,106.0,3925,4295000
https://www.hemnet.se/bostad/lagenhet-2rum-gunsta-uppsala-kommun-hjulaxelvagen-204-lgh-1101-18553955,Gunsta,Gunsta,Hjulaxelvägen204lgh1101,2,55.0,3246,1685000
"https://www.hemnet.se/bostad/lagenhet-1,5rum-svartbacken-uppsala-kommun-svartbacksgatan-101a-18801521",Svartbäcken,Svartbäcken,Svartbäcksgatan101A,1.5,40.0,3056,1595000
https://www.hemnet.se/bostad/lagenhet-1rum-luthagen-stabby-uppsala-kommun-stabby-alle-11-e-18599035,Luthagen / Stabby,Luthagen,Stabbyallé11E,1,31.0,2409,1750000
https://www.hemnet.se/bostad/lagenhet-1rum-salabacke-uppsala-kommun-apelgatan-9a-18801043,Salabacke,Salabacke,Apelgatan9A,1,26.5,1635,1495000
https://www.hemnet.se/bostad/lagenhet-2rum-storvreta-uppsala-kommun-morgonvagen-29-18797495,Storvreta,Storvreta,Morgonvägen29,2,69.0,4194,1795000
https://www.hemnet.se/bostad/lagenhet-2rum-valsatra-uppsala-kommun-hugo-alfvens-vag-34-18796257,Valsätra,Valsätra,HugoAlfvénsväg34,2,58.3,2858,1700000
https://www.hemnet.se/bostad/lagenhet-1rum-falhagen-uppsala-kommun-vaderkvarnsgatan-48b-18800581,Fålhagen,Fålhagen,Väderkvarnsgatan48B,1,50.0,2621,2095000
https://www.hemnet.se/bostad/lagenhet-5rum-fullero-hage-uppsala-kommun-snomolnsvagen-18437035,Fullerö Hage,FulleröHage,Snömolnsvägen,5,113.0,4396,4095000
https://www.hemnet.se/bostad/lagenhet-6rum-skyttorp-uppsala-kommun-myrvagen-8-18798595,Skyttorp,Skyttorp,Myrvägen8,6,130.4,5700,1595000
https://www.hemnet.se/bostad/lagenhet-3rum-arsta-uppsala-kommun-fyrislundsgatan-36-18798516,ÅRSTA,ÅRSTA,Fyrislundsgatan36,3,87.0,4921,2200000
https://www.hemnet.se/bostad/lagenhet-6rum-slavsta-uppsala-kommun-stalgatan-55-18797595,Slavsta,Slavsta,Stålgatan55,6,137.0,7817,4195000
https://www.hemnet.se/bostad/lagenhet-2rum-rosendal-uppsala-kommun-lydia-wahlstroms-gata-18410437,Rosendal,Rosendal,LydiaWahlströmsGata,2,46.0,3012,1948000
https://www.hemnet.se/bostad/lagenhet-1rum-hoganas-uppsala-kommun-sankt-olofsgatan-43e-fast-pris-18681380,Höganäs,Höganäs,Sanktolofsgatan43E,1,36.0,2090,1895000
https://www.hemnet.se/bostad/lagenhet-3rum-rosendal-uppsala-kommun-lydia-wahlstroms-gata-18545316,Rosendal,Rosendal,LydiaWahlströmsGata,3,55.0,3601,2378000
https://www.hemnet.se/bostad/lagenhet-1rum-ultuna-uppsala-kommun-gote-turessons-vag-5a-18784915,Ultuna,Ultuna,GöteTuressonsväg5A,1,30.0,2398,1395000
https://www.hemnet.se/bostad/lagenhet-1rum-falhagen-uppsala-kommun-vallbygatan-9-18332953,FÅLHAGEN,FÅLHAGEN,Vallbygatan9,1,22.5,1534,1395000
https://www.hemnet.se/bostad/lagenhet-3rum-rosendal-uppsala-kommun-grindstugegatan-5-18783515,Rosendal,Rosendal,Grindstugegatan5,3,75.0,4341,4695000
https://www.hemnet.se/bostad/lagenhet-2rum-rosendal-uppsala-kommun-grindstugegatan-5-18783495,Rosendal,Rosendal,Grindstugegatan5,2,45.5,2977,2295000
https://www.hemnet.se/bostad/lagenhet-2rum-rosendal-uppsala-kommun-gerd-enequists-gata-12-a-18783455,Rosendal,Rosendal,GerdEnequistsgata12A,2,64.0,3833,3045000
https://www.hemnet.se/bostad/lagenhet-4rum-rosendal-uppsala-kommun-gerd-enequists-gata-14-18497060,Rosendal,Rosendal,GerdEnequistsgata14,4,90.5,5055,3695000
https://www.hemnet.se/bostad/lagenhet-4rum-rosendal-uppsala-kommun-gerd-enequists-gata-14-18424097,Rosendal,Rosendal,GerdEnequistsgata14,4,97.5,5375,4045000
https://www.hemnet.se/bostad/lagenhet-3rum-gunsta-uppsala-kommun-hjulaxelvagen-164-lgh-1103-18782896,Gunsta,Gunsta,Hjulaxelvägen164lgh1103,3,72.0,4013,2095000
https://www.hemnet.se/bostad/lagenhet-2rum-salabacke-uppsala-kommun-arstagatan-20c-18781337,Salabacke,Salabacke,Årstagatan20C,2,56.0,3166,1850000
https://www.hemnet.se/bostad/lagenhet-2rum-falhagen-uppsala-kommun-frodegatan-10b-fast-pris-18745603,Fålhagen,Fålhagen,Frodegatan10B,2,57.5,3420,3295000
"https://www.hemnet.se/bostad/lagenhet-4rum-kabo-uppsala-kommun-banergatan-16-a,-1104-18076758",KÅBO,KÅBO,Banérgatan16A,4,88.0,4041,3990000
https://www.hemnet.se/bostad/lagenhet-3rum-luthagen-uppsala-kommun-prastgardsgatan-8-c-18780976,Luthagen,Luthagen,Prästgårdsgatan8C,3,66.0,3841,2690000
https://www.hemnet.se/bostad/lagenhet-4rum-stenhagen-uppsala-kommun-stenrosvagen-97-18773795,STENHAGEN,STENHAGEN,Stenrösvägen97,4,108.0,8594,1820000
https://www.hemnet.se/bostad/lagenhet-1rum-luthagen-uppsala-kommun-gimogatan-13a-18775756,LUTHAGEN,LUTHAGEN,Gimogatan13A,1,32.0,2368,1750000
https://www.hemnet.se/bostad/lagenhet-2rum-centrum-uppsala-kommun-kungsgatan-32-18776756,Centrum,Centrum,Kungsgatan32,2,53.0,2898,1995000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-orgelgatan-4-18776138,Uppsala,Uppsala,Orgelgatan4,2,55.0,3152,2450000
https://www.hemnet.se/bostad/lagenhet-2rum-uppsala-kommun-orgelgatan-4-18775859,Uppsala,Uppsala,Orgelgatan4,2,55.0,3152,2400000
https://www.hemnet.se/bostad/lagenhet-1rum-uppsala-kommun-orgelgatan-8-18775758,Uppsala,Uppsala,Orgelgatan8,1,34.0,2332,1550000
https://www.hemnet.se/bostad/lagenhet-1rum-framre-luthagen-fjardingen-uppsala-kommun-gluntens-grand-1-18775956,FRÄMRE LUTHAGEN - FJÄRDINGEN,FRÄMRELUTHAGEN,Gluntensgränd1,1,34.0,2474,2950000
https://www.hemnet.se/bostad/lagenhet-2rum-rosendal-uppsala-kommun-arne-tiselius-gata-lydia-wahlstroms-gata-18037296,Rosendal,Rosendal,ArneTiseliusgata,2,49.1,2915,1845000
https://www.hemnet.se/bostad/lagenhet-5rum-fullero-hage-uppsala-kommun-snomolnsvagen-18436757,Fullerö Hage,FulleröHage,Snömolnsvägen,5,113.0,4396,3795000
https://www.hemnet.se/bostad/lagenhet-4rum-uppsala-uppsala-kommun-portalgatan-29-18771079,Uppsala,Uppsala,Portalgatan29,4,97.0,5001,3750000
https://www.hemnet.se/bostad/lagenhet-2rum-salabacke-uppsala-kommun-arstagatan-20b-18769912,SALABACKE,SALABACKE,Årstagatan20B,2,56.0,3165,1750000
https://www.hemnet.se/bostad/lagenhet-1rum-uppsala-kommun-kungsgatan-66-d-18433995,Uppsala,Uppsala,Kungsgatan66D,1,33.0,2550,2295000
https://www.hemnet.se/bostad/lagenhet-3rum-uppsala-kommun-kungsgatan-66-c-18433697,Uppsala,Uppsala,Kungsgatan66C,3,71.0,4150,4095000
https://www.hemnet.se/bostad/lagenhet-4rum-uppsala-kommun-sockergatan-4-18040355,Uppsala,Uppsala,Sockergatan4,4,80.0,4550,3795000
